subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,6,1,0.0956,0.1465,0.0509,0.071,0.1072,0.0362,0.062,0.071,0.009,0.0718,0.3668,0.295,0.1069,0.3321,0.2252,0.1104,0.1305,0.0201,0.0879,0.1276,0.0397,0.1125,0.089,-0.0235,0.0687,0.1524,0.0837,0.0913,0.2057,0.1144,0.065
s002,6,2,0.099,0.1464,0.0474,0.0729,0.1057,0.0328,0.0679,0.1025,0.0346,0.0721,0.3502,0.2781,0.0932,0.3063,0.2131,0.109,0.18,0.071,0.0824,0.1165,0.0341,0.098,0.0835,-0.0145,0.0729,0.1547,0.0818,0.0715,0.1872,0.1157,0.0496
s002,6,3,0.0853,0.1193,0.034,0.0774,0.1102,0.0328,0.0708,0.1131,0.0423,0.0763,0.3431,0.2668,0.0866,0.3389,0.2523,0.1022,0.1906,0.0884,0.0673,0.1355,0.0682,0.1038,0.065,-0.0388,0.0732,0.1748,0.1016,0.0758,0.1826,0.1068,0.0655
s002,6,4,0.0842,0.1261,0.0419,0.0705,0.1106,0.0401,0.0597,0.0877,0.028,0.0795,0.3167,0.2372,0.0723,0.3495,0.2772,0.0977,0.1455,0.0478,0.0689,0.13,0.0611,0.0998,0.0908,-0.009,0.0589,0.1605,0.1016,0.0742,0.2989,0.2247,0.0657
s002,6,5,0.0702,0.1108,0.0406,0.0776,0.1333,0.0557,0.0684,0.117,0.0486,0.0734,0.3061,0.2327,0.0869,0.382,0.2951,0.0969,0.131,0.0341,0.0692,0.1564,0.0872,0.1008,0.0383,-0.0625,0.0763,0.3207,0.2444,0.1085,0.2572,0.1487,0.07
s002,6,6,0.0998,0.1306,0.0308,0.0726,0.1178,0.0452,0.07,0.102,0.032,0.0871,0.6668,0.5797,0.094,0.3469,0.2529,0.1035,0.1149,0.0114,0.0866,0.1627,0.0761,0.1162,0.0616,-0.0546,0.0874,0.1821,0.0947,0.0845,0.191,0.1065,0.0639
s002,6,7,0.0824,0.0895,0.0071,0.0789,0.1386,0.0597,0.0607,0.0837,0.023,0.0832,0.3505,0.2673,0.0795,0.3364,0.2569,0.085,0.1523,0.0673,0.071,0.1693,0.0983,0.1264,0.1613,0.0349,0.0921,0.1742,0.0821,0.0927,0.1868,0.0941,0.0937
s002,6,8,0.1072,0.1034,-0.0038,0.0837,0.1394,0.0557,0.0697,0.0872,0.0175,0.0737,0.2785,0.2048,0.08,0.3606,0.2806,0.0856,0.1046,0.019,0.0863,0.1516,0.0653,0.1004,0.0571,-0.0433,0.0666,0.1508,0.0842,0.0781,0.1683,0.0902,0.0692
s002,6,9,0.0855,0.1488,0.0633,0.0744,0.1209,0.0465,0.0586,0.0921,0.0335,0.0676,0.2059,0.1383,0.0869,0.4163,0.3294,0.1144,0.1962,0.0818,0.076,0.1254,0.0494,0.1067,0.0919,-0.0148,0.0695,0.1539,0.0844,0.0853,0.1828,0.0975,0.0774
s002,6,10,0.0837,0.1203,0.0366,0.0737,0.1152,0.0415,0.0837,0.1312,0.0475,0.0684,0.3766,0.3082,0.0673,0.3054,0.2381,0.1035,0.1146,0.0111,0.0771,0.144,0.0669,0.0901,0.0249,-0.0652,0.0898,0.1972,0.1074,0.09,0.1999,0.1099,0.0589
s002,6,11,0.0776,0.101,0.0234,0.0866,0.1426,0.056,0.0684,0.0827,0.0143,0.0784,0.2246,0.1462,0.1019,0.5294,0.4275,0.1001,0.1199,0.0198,0.0768,0.1621,0.0853,0.1608,0.022,-0.1388,0.0702,0.2412,0.171,0.1024,0.22,0.1176,0.0676
s002,6,12,0.0689,0.1327,0.0638,0.0829,0.1157,0.0328,0.0647,0.0882,0.0235,0.0729,0.6112,0.5383,0.0713,0.4894,0.4181,0.1178,0.163,0.0452,0.0763,0.1384,0.0621,0.1177,0.0945,-0.0232,0.0834,0.1665,0.0831,0.0834,0.1556,0.0722,0.0879
s002,6,13,0.1036,0.0992,-0.0044,0.0745,0.13,0.0555,0.0719,0.0626,-0.0093,0.0901,0.2194,0.1293,0.0987,0.4121,0.3134,0.1206,0.1869,0.0663,0.0842,0.1511,0.0669,0.1125,0.0584,-0.0541,0.0713,0.1629,0.0916,0.0803,0.1863,0.106,0.0694
s002,6,14,0.0927,0.1182,0.0255,0.0702,0.1185,0.0483,0.0663,0.0877,0.0214,0.0715,0.6349,0.5634,0.0945,0.4537,0.3592,0.1331,0.2107,0.0776,0.0734,0.1458,0.0724,0.1167,0.0592,-0.0575,0.0763,0.1602,0.0839,0.0679,0.1615,0.0936,0.0805
s002,6,15,0.0871,0.1987,0.1116,0.0681,0.0861,0.018,0.0681,0.1151,0.047,0.0737,0.25,0.1763,0.0861,0.321,0.2349,0.0935,0.1136,0.0201,0.0816,0.1833,0.1017,0.1146,0.0214,-0.0932,0.0776,0.2339,0.1563,0.0861,0.1982,0.1121,0.0747
s002,6,16,0.0805,0.1153,0.0348,0.0787,0.1152,0.0365,0.0697,0.0998,0.0301,0.0768,0.3238,0.247,0.089,0.3356,0.2466,0.0938,0.0924,-0.0014,0.0951,0.1799,0.0848,0.1135,0.0721,-0.0414,0.0845,0.179,0.0945,0.0813,0.1857,0.1044,0.0808
s002,6,17,0.0882,0.0895,0.0013,0.0826,0.132,0.0494,0.074,0.0705,-0.0035,0.0743,0.2904,0.2161,0.094,0.3575,0.2635,0.0938,0.1113,0.0175,0.0781,0.1935,0.1154,0.0863,0.1368,0.0505,0.0676,0.1666,0.099,0.0594,0.1696,0.1102,0.0713
s002,6,18,0.0721,0.0237,-0.0484,0.1462,0.2676,0.1214,0.0671,0.0441,-0.023,0.0843,0.4347,0.3504,0.0842,0.3448,0.2606,0.0971,0.1241,0.027,0.0671,0.1514,0.0843,0.0991,0.06,-0.0391,0.0811,0.1811,0.1,0.0758,0.181,0.1052,0.0671
s002,6,19,0.0607,0.1102,0.0495,0.0768,0.1512,0.0744,0.061,0.0909,0.0299,0.0671,0.3312,0.2641,0.0755,0.3199,0.2444,0.1099,0.1416,0.0317,0.0781,0.1589,0.0808,0.0847,0.0383,-0.0464,0.0755,0.1766,0.1011,0.0671,0.1733,0.1062,0.0713
s002,6,20,0.0789,0.1345,0.0556,0.0768,0.118,0.0412,0.0708,0.1065,0.0357,0.0665,0.2845,0.218,0.0795,0.3078,0.2283,0.099,0.1312,0.0322,0.0884,0.1658,0.0774,0.1106,0.1481,0.0375,0.0602,0.166,0.1058,0.0876,0.1822,0.0946,0.0861
s002,6,21,0.08,0.1039,0.0239,0.0858,0.1434,0.0576,0.0731,0.1623,0.0892,0.0774,0.5102,0.4328,0.0758,0.3171,0.2413,0.1029,0.1317,0.0288,0.0789,0.145,0.0661,0.1077,0.1365,0.0288,0.0681,0.1718,0.1037,0.0808,0.1818,0.101,0.0829
s002,6,22,0.0826,0.0936,0.011,0.0708,0.1426,0.0718,0.0521,0.0346,-0.0175,0.0745,0.2025,0.128,0.0784,0.5424,0.464,0.0906,0.2281,0.1375,0.0779,0.1432,0.0653,0.1138,0.0758,-0.038,0.0658,0.1682,0.1024,0.0705,0.1659,0.0954,0.0742
s002,6,23,0.099,0.1164,0.0174,0.0686,0.1093,0.0407,0.0689,0.0819,0.013,0.0774,0.2283,0.1509,0.0977,0.3454,0.2477,0.0972,0.1294,0.0322,0.0792,0.1323,0.0531,0.1151,0.0618,-0.0533,0.0732,0.1666,0.0934,0.0763,0.1796,0.1033,0.0689
s002,6,24,0.0644,0.0844,0.02,0.0768,0.1217,0.0449,0.0644,0.0958,0.0314,0.0739,0.2549,0.181,0.0845,0.3722,0.2877,0.1123,0.1553,0.043,0.0832,0.1765,0.0933,0.1086,0.032,-0.0766,0.0602,0.4516,0.3914,0.0979,0.1886,0.0907,0.0855
s002,6,25,0.0919,0.1312,0.0393,0.076,0.1367,0.0607,0.0668,0.0832,0.0164,0.0874,0.242,0.1546,0.094,0.331,0.237,0.0766,0.1291,0.0525,0.0797,0.1284,0.0487,0.0982,0.0737,-0.0245,0.081,0.1699,0.0889,0.0744,0.1646,0.0902,0.0795
s002,6,26,0.0847,0.1247,0.04,0.0787,0.1162,0.0375,0.0639,0.0816,0.0177,0.0874,0.1821,0.0947,0.0916,0.315,0.2234,0.1212,0.2318,0.1106,0.0945,0.1695,0.075,0.1159,0.0734,-0.0425,0.0829,0.1887,0.1058,0.0737,0.1723,0.0986,0.0713
s002,6,27,0.0874,0.1414,0.054,0.0702,0.1177,0.0475,0.0639,0.0982,0.0343,0.0797,0.2937,0.214,0.0768,0.2903,0.2135,0.1001,0.0903,-0.0098,0.0869,0.1664,0.0795,0.1188,0.1376,0.0188,0.0718,0.1657,0.0939,0.08,0.1844,0.1044,0.0776
s002,6,28,0.0929,0.124,0.0311,0.0908,0.1531,0.0623,0.0631,0.062,-0.0011,0.0795,0.4785,0.399,0.08,0.3271,0.2471,0.0977,0.1059,0.0082,0.0821,0.1585,0.0764,0.0913,0.0573,-0.034,0.0747,0.1758,0.1011,0.0771,0.1649,0.0878,0.0821
s002,6,29,0.0816,0.0984,0.0168,0.0779,0.1373,0.0594,0.0634,0.0838,0.0204,0.0824,0.3304,0.248,0.0789,0.3564,0.2775,0.099,0.1508,0.0518,0.0808,0.13,0.0492,0.1114,0.0671,-0.0443,0.07,0.1668,0.0968,0.07,0.1652,0.0952,0.0766
s002,6,30,0.0898,0.0932,0.0034,0.0718,0.1336,0.0618,0.0647,0.0727,0.008,0.0805,0.5972,0.5167,0.0644,0.3231,0.2587,0.0969,0.1434,0.0465,0.0813,0.1534,0.0721,0.1056,0.0473,-0.0583,0.0776,0.1969,0.1193,0.0739,0.1907,0.1168,0.0781
s002,6,31,0.0887,0.0918,0.0031,0.0774,0.1405,0.0631,0.0634,0.0827,0.0193,0.0855,0.2312,0.1457,0.1016,0.3629,0.2613,0.0975,0.1548,0.0573,0.0771,0.1316,0.0545,0.1101,0.0792,-0.0309,0.0708,0.4125,0.3417,0.1051,0.2443,0.1392,0.0697
s002,6,32,0.0884,0.1292,0.0408,0.07,0.1431,0.0731,0.0758,0.079,0.0032,0.0723,0.2639,0.1916,0.0869,0.3506,0.2637,0.0846,0.1432,0.0586,0.0808,0.1469,0.0661,0.1057,0.0695,-0.0362,0.0859,0.2149,0.129,0.0544,0.181,0.1266,0.0705
s002,6,33,0.0784,0.1008,0.0224,0.0787,0.1405,0.0618,0.0599,0.0686,0.0087,0.0874,0.2785,0.1911,0.0805,0.3556,0.2751,0.0877,0.1144,0.0267,0.0824,0.2268,0.1444,0.1486,0.331,0.1824,0.104,0.2402,0.1362,0.0898,0.1836,0.0938,0.0916
s002,6,34,0.1072,0.1039,-0.0033,0.0753,0.1292,0.0539,0.0758,0.0909,0.0151,0.076,0.3523,0.2763,0.0787,0.3345,0.2558,0.0819,0.1036,0.0217,0.0824,0.1664,0.084,0.1109,0.0428,-0.0681,0.0948,0.1996,0.1048,0.0744,0.1899,0.1155,0.0861
s002,6,35,0.0861,0.1137,0.0276,0.0726,0.1286,0.056,0.0663,0.0903,0.024,0.0665,0.3502,0.2837,0.0879,0.3463,0.2584,0.0834,0.0921,0.0087,0.0742,0.1756,0.1014,0.1074,0.1283,0.0209,0.0671,0.2159,0.1488,0.0908,0.2651,0.1743,0.0784
s002,6,36,0.0821,0.0788,-0.0033,0.0816,0.1347,0.0531,0.07,0.0956,0.0256,0.0718,0.2518,0.18,0.0768,0.3131,0.2363,0.1106,0.1761,0.0655,0.0876,0.1632,0.0756,0.1264,0.132,0.0056,0.0713,0.1837,0.1124,0.0845,0.2129,0.1284,0.07
